month,quantity,orig,linapprox,FAR,bdm0,bdm1,median
1,319.32,0,0,0,0,0,0
2,320.36,0,0,0,0,0,0
3,320.82,0,0,0,0,0,0
4,322.06,0,0,0,0,0,0
5,322.17,0,0,0,0,0,0
6,321.95,0,0,0,0,0,0
7,321.2,0,0,0,0,0,0
8,318.81,0,0,0,0,1,0
9,317.82,0,0,0,0,0,0
10,317.37,0,0,0,0,0,0
11,318.93,0,0,0,0,0,0
12,319.09,1,0,0,0,0,0
13,319.94,0,0,0,0,0,0
14,320.98,0,0,0,0,0,0
15,321.81,0,0,0,0,0,0
16,323.03,0,0,0,0,0,0
17,323.36,0,0,0,0,0,0
18,323.11,0,0,0,0,0,0
19,321.65,0,0,0,0,0,0
20,319.64,0,0,0,0,0,0
21,317.86,0,0,0,0,0,1
22,317.25,0,0,0,0,0,0
23,319.06,0,0,0,0,1,0
24,320.26,0,0,0,0,0,0
25,321.65,0,0,0,0,0,0
26,321.81,1,0,0,0,0,0
27,322.36,0,0,0,0,0,0
28,323.67,0,0,0,0,0,0
29,324.17,0,0,0,0,0,0
30,323.39,0,0,0,0,0,0
31,321.93,0,0,0,0,0,0
32,320.29,0,0,0,0,0,0
33,318.58,0,0,0,0,0,0
34,318.6,0,0,1,0,0,0
35,319.98,0,0,0,0,0,0
36,321.25,0,0,0,0,0,0
37,321.88,0,0,0,0,0,0
38,322.47,0,0,0,0,0,0
39,323.17,0,0,0,0,0,0
40,324.23,0,0,0,0,0,0
41,324.88,0,0,0,0,0,0
42,324.75,0,0,0,0,0,0
43,323.47,0,0,0,0,0,0
44,321.34,0,0,0,0,0,0
45,319.56,0,0,0,0,0,0
46,319.45,0,0,0,0,0,0
47,320.45,0,0,0,0,0,0
48,321.92,0,0,0,0,0,0
49,323.4,0,0,0,0,0,0
50,324.21,0,0,0,0,0,0
51,325.33,0,0,0,0,0,0
52,326.31,0,0,0,0,0,0
53,327.01,0,0,0,0,0,0
54,326.24,0,0,0,0,0,0
55,325.37,0,0,0,0,0,0
56,323.12,0,0,0,0,0,0
57,321.85,0,0,0,0,0,0
58,321.31,0,0,0,0,0,0
59,322.31,0,0,0,0,0,0
60,323.72,0,0,0,0,0,0
61,324.6,0,0,0,0,0,0
62,325.57,0,0,0,0,0,0
63,326.55,0,0,0,0,0,0
64,327.8,0,0,0,0,0,0
65,327.8,0,0,0,0,0,0
66,327.54,0,0,0,0,0,0
67,326.28,0,0,0,0,0,0
68,324.63,0,0,0,0,0,0
69,323.12,0,0,0,0,0,0
70,323.11,0,0,1,0,0,0
71,323.99,0,0,0,0,0,0
72,325.09,0,0,0,0,0,0
73,326.12,0,0,0,0,0,0
74,326.61,0,0,0,0,0,0
75,327.16,0,0,0,0,0,0
76,327.92,0,0,0,0,0,0
77,329.14,0,0,0,0,0,0
78,328.8,0,0,0,0,0,0
79,327.52,0,0,0,0,0,0
80,325.62,0,0,0,0,0,1
81,323.61,0,0,0,0,0,0
82,323.8,0,0,0,0,0,0
83,325.1,0,0,0,0,0,0
84,326.25,0,0,0,0,0,0
85,326.93,0,0,0,0,0,0
86,327.83,0,0,0,0,0,0
87,327.95,1,0,0,0,0,0
88,329.91,0,0,0,0,1,0
89,330.22,0,0,0,0,0,0
90,329.25,0,0,0,0,0,0
91,328.11,0,0,0,0,0,0
92,326.39,0,0,0,0,0,0
93,324.97,0,0,0,0,0,0
94,325.32,0,0,0,0,0,0
95,326.54,0,0,0,0,0,0
96,327.71,0,0,0,0,0,0
97,328.73,0,0,0,0,0,0
98,329.69,0,0,0,0,0,0
99,330.47,0,0,0,0,0,0
100,331.69,0,0,0,0,0,0
101,332.65,0,0,0,0,0,0
102,332.24,0,0,0,0,0,0
103,331.03,0,0,0,0,0,0
104,329.36,0,0,0,0,0,0
105,327.6,0,0,0,0,0,0
106,327.29,0,0,0,0,0,0
107,328.28,0,0,0,0,0,0
108,328.79,0,0,0,0,0,0
109,329.45,0,0,0,0,0,0
110,330.89,0,0,0,0,0,0
111,331.63,0,0,0,0,0,0
112,332.85,0,0,0,0,0,0
113,333.28,0,0,0,0,0,0
114,332.47,0,0,0,0,0,0
115,331.34,0,0,0,0,0,0
116,329.53,0,0,0,0,0,0
117,327.57,0,0,0,0,0,0
118,327.57,0,0,0,0,0,0
119,328.53,0,0,0,0,0,0
120,329.69,0,0,0,0,0,0
121,330.45,0,0,0,0,0,0
122,330.97,0,0,0,0,0,0
123,331.64,0,0,0,0,0,0
124,332.87,0,0,0,0,0,0
125,333.61,0,0,0,0,0,0
126,333.55,0,0,0,0,0,0
127,331.9,0,0,0,0,0,0
128,330.05,0,0,0,0,0,0
129,328.58,0,0,0,0,0,0
130,328.31,0,0,0,0,0,0
131,329.41,0,0,0,0,0,0
132,330.63,0,0,0,0,0,0
133,331.63,0,0,0,0,0,0
134,332.46,0,0,0,0,0,0
135,333.36,0,0,0,0,0,0
136,334.45,0,0,0,0,0,0
137,334.82,0,0,0,0,0,0
138,334.32,0,0,0,0,0,0
139,333.05,0,0,0,0,0,0
140,330.87,0,0,0,0,0,0
141,329.24,0,0,0,0,0,0
142,328.87,0,0,0,0,0,0
143,330.18,0,0,0,0,0,0
144,331.5,0,0,0,0,0,0
145,332.81,0,0,0,0,0,0
146,333.23,1,0,0,0,0,0
147,334.55,0,0,0,0,0,0
148,335.82,0,0,0,0,0,0
149,336.44,0,0,0,0,0,0
150,335.99,0,0,0,0,0,0
151,334.65,0,0,0,0,0,0
152,332.41,0,0,0,0,0,0
153,331.32,0,0,0,0,0,0
154,330.73,0,0,0,0,0,0
155,332.05,0,0,0,0,0,0
156,333.53,0,0,0,0,0,0
157,334.66,0,0,0,0,0,0
158,335.07,1,0,0,0,0,0
159,336.33,0,0,0,0,0,0
160,337.39,0,0,0,0,0,0
161,337.65,0,0,0,0,0,0
162,337.57,0,0,0,0,0,0
163,336.25,0,0,0,0,0,0
164,334.39,0,0,0,0,0,0
165,332.44,0,0,0,0,0,0
166,332.25,0,0,0,0,0,0
167,333.59,0,0,0,0,0,0
168,334.76,0,0,0,0,0,0
169,335.89,0,0,0,0,0,0
170,336.44,0,0,0,0,0,0
171,337.63,0,0,0,0,0,0
172,338.54,0,0,0,0,0,0
173,339.06,0,0,0,0,0,0
174,338.95,0,0,0,0,0,0
175,337.41,0,0,0,0,0,0
176,335.71,0,0,0,0,0,1
177,333.68,0,0,0,0,0,0
178,333.69,0,1,1,0,0,0
179,335.05,0,0,0,0,0,0
180,336.53,0,0,0,0,0,0
181,337.81,0,0,0,0,0,0
182,338.16,1,0,0,0,0,0
183,339.88,0,0,0,0,1,0
184,340.57,0,1,0,0,0,0
185,341.19,0,0,0,0,0,0
186,340.87,0,0,0,0,0,0
187,339.25,0,0,0,0,0,0
188,337.19,0,1,0,0,0,1
189,335.49,0,1,0,0,0,0
190,336.63,0,1,0,0,0,0
191,337.74,0,0,0,0,0,0
192,338.36,0,0,0,0,0,0
